valuation in MM,Name,Website,Description,Growth Score,Mindshare Score,Employee Count,Est. Monthly Uniques,Months Since Last Funding,Founded,Stage,Investors,Total Funding,Last Funding,Last Funding Amount,Location,City,Continent,Revenue Range,Business Models,Industries,Keywords
12,Loot,http://loot.io,Loot is a money management app targeted at students and linked to a pre-paid card.,206,223,33,,3,2014,C,Global Founders Capital|Nick Wheeler|Portag3 Ventures|Speedinvest,9732397,12/15/17,3024472,London,London,Europe,,B2C,banking|finance|mobile|payments,
18,CarePayment,http://carepayment.com,CarePayment is a patient financial engagement company for the new healthcare consumer that is dedicated to helping people manage medical expenses .,-42,-78,81,4646,7,2004,Exited (ipo),Comvest Group|Wells Fargo Financial,190000000,8/7/17,90000000,Portland,Portland,North America,$25M - $50M,B2B,banking|enterprise software|finance|health it|healthcare|healthcare providers|human resources hr|payments,
26,Net Element International,http://netelement.com,A technology-driven group specializing in mobile payments and value-added transactional services. The company is strategically positioned for growth in emerging countries and the United States.,98,103,48,1268,65,2004,Exited (ipo),Alfa-Bank|Cazador Acquisition Corporation Ltd|Kenges Rakishev,70000000,10/4/12,26500000,Miami,North Miami Beach,North America,$25M - $50M,B2B,banking|e-commerce|finance|information security|marketing|media|mobile|payments|security,3d technology|mobile commerce|payments|social media
35,JetPay,http://jetpay.com,"JetPay specializes in technology solutions for the e-commerce and card-not-present marketplace, including proccessing and acquiring.",109,22,136,704,53,2012,Exited (ipo),Flexpoint Ford,10000000,10/11/13,10000000,Philadelphia,Berwyn,North America,$25M - $50M,B2B,banking|payments,
37,Flutterwave,http://flutterwave.com,"Flutterwave provides technology, infrastructure and services to enable global merchants, payment service providers and Pan African banks accept and process payments on any channel (Web, Mobile, ATM & POS).",468,365,44,,7,2016,B,Cactus Capital|Glynn Capital Management|Green Visor Capital|Greycroft Partners|Y Combinator|YC Summer 2016,10120000,7/31/17,10000000,Bay Area,San Francisco,North America,,B2C,advertising|banking|consumer services|finance|payments,africa
200,Poynt Co,http://poynt.com,Poynt is a smart payment terminal company.,135,32,65,480,29,2013,B,Google Ventures|Matrix Partners|Nyca Partners|Oak HC/FT Partners|Stanford StartX|Webb Investment Network,56000000,10/23/15,28000000,Palo Alto,Palo Alto,North America,$25M - $50M,B2B|B2C,finance|hardware|internet of things|mobile|payments,android|payments|point of sale
400,Marqeta,http://marqeta.com,"Marqeta's open API platform powers prepaid debit and credit cards for lending, expense, virtual, disbursement, on-demand delivery and e-commerce.",153,-33,168,2172,7,2010,C,83North|Commerce Ventures|CommerzVentures GmbH|Granite Ventures|Greylock Partners|IA Capital Group|NewSpring Capital|Visa,70517900,7/26/17,25000000,Bay Area,Oakland,North America,$25M - $50M,B2B,e-commerce|finance|payments,
625,Womply,http://womply.com,"Womply helps small businesses in every corner of America use technology and
data to grow, protect, and simplify their businesses.",378,46,232,2122,16,2011,B,500 Startups|Asset Management Ventures (AMV)|Data Collective|Dave McClure|Merus Capital|Sageview Capital|Streamlined Ventures|TEEC Angel Fund,30000000,11/15/16,30000000,Bay Area,San Francisco,North America,,B2B,analytics|marketing|payments,bars|credit cards|crm|deals|loyalty / rewards|productivity|relationship management|small & medium sized business
750,CardConnect,http://cardconnect.com,"Provides secure payment processing and technology services for over 50,000 merchants, including point-to-point encryption and patented tokenization.",483,285,278,52378,90,2006,Exited (acquired),FTV Capital,50000000,9/16/10,50000000,Philadelphia,King Of Prussia,North America,$250M - $500M,B2B,data storage|finance|information security|payments|physical security|security|storage,
1150,Kabbage,http://kabbage.com,Looking for a small business loan to get the working capital you need? Learn why Kabbage is the fastest and simplest way to get funding for your business.,26,-57,390,527738,4,2009,Late,BlueRun Ventures|Credit Suisse|David Bonderman|ING Corporate Investments|Jim McKelvey|Lumia Capital|Mohr Davidow Ventures|Recruit Strategic Partners|Reverence Capital Partners|SV Angel|Santander InnoVentures|Scotiabank|SoftBank Capital|The TCW Group|Thomvest Ventures|UPS Strategic Enterprise Fund|Victory Park Capital|Warren Stephens|Western Technology Investment|Yuan Capital,780363500,11/16/17,200000000,Atlanta,Atlanta,North America,$25M - $50M,B2B,banking|finance|payments,big data
